O*NET-SOC Code,Element ID,Element Name,Scale ID,Data Value,Title
11-1011.03,2.B.5.c,Management of Material Resources,IM,2.25,Chief Sustainability Officers
11-1011.03,2.B.5.d,Management of Personnel Resources,IM,3.12,Chief Sustainability Officers
11-1021.00,2.A.1.a,Reading Comprehension,IM,4.00,General and Operations Managers
11-1021.00,2.A.1.b,Active Listening,IM,4.00,General and Operations Managers
11-1021.00,2.A.1.c,Writing,IM,3.50,General and Operations Managers
11-1021.00,2.A.1.d,Speaking,IM,4.00,General and Operations Managers
11-1021.00,2.A.1.e,Mathematics,IM,2.62,General and Operations Managers
11-1021.00,2.A.1.f,Science,IM,1.50,General and Operations Managers
11-1021.00,2.A.2.a,Critical Thinking,IM,3.88,General and Operations Managers
11-1021.00,2.A.2.b,Active Learning,IM,3.62,General and Operations Managers
11-1021.00,2.A.2.c,Learning Strategies,IM,3.00,General and Operations Managers
11-1021.00,2.A.2.d,Monitoring,IM,4.00,General and Operations Managers
11-1021.00,2.B.1.a,Social Perceptiveness,IM,3.75,General and Operations Managers
11-1021.00,2.B.1.b,Coordination,IM,3.88,General and Operations Managers
11-1021.00,2.B.1.c,Persuasion,IM,3.62,General and Operations Managers
11-1021.00,2.B.1.d,Negotiation,IM,3.50,General and Operations Managers
11-1021.00,2.B.1.e,Instructing,IM,3.00,General and Operations Managers
11-1021.00,2.B.1.f,Service Orientation,IM,3.25,General and Operations Managers
11-1021.00,2.B.2.i,Complex Problem Solving,IM,3.62,General and Operations Managers
11-1021.00,2.B.3.a,Operations Analysis,IM,2.50,General and Operations Managers
11-1021.00,2.B.3.b,Technology Design,IM,1.50,General and Operations Managers
11-1021.00,2.B.3.c,Equipment Selection,IM,1.00,General and Operations Managers
11-1021.00,2.B.3.d,Installation,IM,1.00,General and Operations Managers
11-1021.00,2.B.3.e,Programming,IM,1.50,General and Operations Managers
11-1021.00,2.B.3.g,Operations Monitoring,IM,2.25,General and Operations Managers
11-1021.00,2.B.3.h,Operation and Control,IM,1.88,General and Operations Managers
11-1021.00,2.B.3.j,Equipment Maintenance,IM,1.00,General and Operations Managers
11-1021.00,2.B.3.k,Troubleshooting,IM,1.75,General and Operations Managers
11-1021.00,2.B.3.l,Repairing,IM,1.00,General and Operations Managers
11-1021.00,2.B.3.m,Quality Control Analysis,IM,2.38,General and Operations Managers
11-1021.00,2.B.4.e,Judgment and Decision Making,IM,3.62,General and Operations Managers
11-1021.00,2.B.4.g,Systems Analysis,IM,3.12,General and Operations Managers
11-1021.00,2.B.4.h,Systems Evaluation,IM,3.12,General and Operations Managers
11-1021.00,2.B.5.a,Time Management,IM,3.62,General and Operations Managers
11-1021.00,2.B.5.b,Management of Financial Resources,IM,3.00,General and Operations Managers
11-1021.00,2.B.5.c,Management of Material Resources,IM,3.12,General and Operations Managers
11-1021.00,2.B.5.d,Management of Personnel Resources,IM,3.75,General and Operations Managers
11-2011.00,2.A.1.a,Reading Comprehension,IM,3.75,Advertising and Promotions Managers
11-2011.00,2.A.1.b,Active Listening,IM,4.12,Advertising and Promotions Managers
11-2011.00,2.A.1.c,Writing,IM,3.75,Advertising and Promotions Managers
11-2011.00,2.A.1.d,Speaking,IM,4.00,Advertising and Promotions Managers
11-2011.00,2.A.1.e,Mathematics,IM,3.00,Advertising and Promotions Managers
11-2011.00,2.A.1.f,Science,IM,1.62,Advertising and Promotions Managers
11-2011.00,2.A.2.a,Critical Thinking,IM,4.00,Advertising and Promotions Managers
11-2011.00,2.A.2.b,Active Learning,IM,3.25,Advertising and Promotions Managers
11-2011.00,2.A.2.c,Learning Strategies,IM,3.00,Advertising and Promotions Managers
11-2011.00,2.A.2.d,Monitoring,IM,3.25,Advertising and Promotions Managers
11-2011.00,2.B.1.a,Social Perceptiveness,IM,4.00,Advertising and Promotions Managers
11-2011.00,2.B.1.b,Coordination,IM,3.50,Advertising and Promotions Managers
11-2011.00,2.B.1.c,Persuasion,IM,3.38,Advertising and Promotions Managers
11-2011.00,2.B.1.d,Negotiation,IM,3.12,Advertising and Promotions Managers
11-2011.00,2.B.1.e,Instructing,IM,2.88,Advertising and Promotions Managers
11-2011.00,2.B.1.f,Service Orientation,IM,3.12,Advertising and Promotions Managers
11-2011.00,2.B.2.i,Complex Problem Solving,IM,3.50,Advertising and Promotions Managers
11-2011.00,2.B.3.a,Operations Analysis,IM,2.75,Advertising and Promotions Managers
11-2011.00,2.B.3.b,Technology Design,IM,1.75,Advertising and Promotions Managers
11-2011.00,2.B.3.c,Equipment Selection,IM,1.12,Advertising and Promotions Managers
11-2011.00,2.B.3.d,Installation,IM,1.00,Advertising and Promotions Managers
11-2011.00,2.B.3.e,Programming,IM,1.75,Advertising and Promotions Managers
11-2011.00,2.B.3.g,Operations Monitoring,IM,1.62,Advertising and Promotions Managers
11-2011.00,2.B.3.h,Operation and Control,IM,1.00,Advertising and Promotions Managers
11-2011.00,2.B.3.j,Equipment Maintenance,IM,1.00,Advertising and Promotions Managers
11-2011.00,2.B.3.k,Troubleshooting,IM,1.00,Advertising and Promotions Managers
11-2011.00,2.B.3.l,Repairing,IM,1.00,Advertising and Promotions Managers
11-2011.00,2.B.3.m,Quality Control Analysis,IM,1.62,Advertising and Promotions Managers
11-2011.00,2.B.4.e,Judgment and Decision Making,IM,3.75,Advertising and Promotions Managers
11-2011.00,2.B.4.g,Systems Analysis,IM,3.12,Advertising and Promotions Managers
11-2011.00,2.B.4.h,Systems Evaluation,IM,3.12,Advertising and Promotions Managers
11-2011.00,2.B.5.a,Time Management,IM,3.50,Advertising and Promotions Managers
11-2011.00,2.B.5.b,Management of Financial Resources,IM,2.75,Advertising and Promotions Managers
11-2011.00,2.B.5.c,Management of Material Resources,IM,2.62,Advertising and Promotions Managers
11-2011.00,2.B.5.d,Management of Personnel Resources,IM,3.12,Advertising and Promotions Managers
11-2021.00,2.A.1.a,Reading Comprehension,IM,3.88,Marketing Managers
11-2021.00,2.A.1.b,Active Listening,IM,3.88,Marketing Managers
11-2021.00,2.A.1.c,Writing,IM,3.25,Marketing Managers
11-2021.00,2.A.1.d,Speaking,IM,3.88,Marketing Managers
11-2021.00,2.A.1.e,Mathematics,IM,2.75,Marketing Managers
11-2021.00,2.A.1.f,Science,IM,1.75,Marketing Managers
11-2021.00,2.A.2.a,Critical Thinking,IM,3.88,Marketing Managers
11-2021.00,2.A.2.b,Active Learning,IM,3.88,Marketing Managers
11-2021.00,2.A.2.c,Learning Strategies,IM,3.12,Marketing Managers
11-2021.00,2.A.2.d,Monitoring,IM,3.75,Marketing Managers
11-2021.00,2.B.1.a,Social Perceptiveness,IM,3.88,Marketing Managers
11-2021.00,2.B.1.b,Coordination,IM,3.50,Marketing Managers
11-2021.00,2.B.1.c,Persuasion,IM,3.75,Marketing Managers
11-2021.00,2.B.1.d,Negotiation,IM,3.62,Marketing Managers
11-2021.00,2.B.1.e,Instructing,IM,3.00,Marketing Managers
11-2021.00,2.B.1.f,Service Orientation,IM,3.12,Marketing Managers
11-2021.00,2.B.2.i,Complex Problem Solving,IM,3.62,Marketing Managers
11-2021.00,2.B.3.a,Operations Analysis,IM,3.38,Marketing Managers
11-2021.00,2.B.3.b,Technology Design,IM,1.75,Marketing Managers
11-2021.00,2.B.3.c,Equipment Selection,IM,1.00,Marketing Managers
11-2021.00,2.B.3.d,Installation,IM,1.00,Marketing Managers
11-2021.00,2.B.3.e,Programming,IM,1.88,Marketing Managers
11-2021.00,2.B.3.g,Operations Monitoring,IM,1.75,Marketing Managers
11-2021.00,2.B.3.h,Operation and Control,IM,1.00,Marketing Managers
11-2021.00,2.B.3.j,Equipment Maintenance,IM,1.00,Marketing Managers
11-2021.00,2.B.3.k,Troubleshooting,IM,1.00,Marketing Managers
11-2021.00,2.B.3.l,Repairing,IM,1.00,Marketing Managers
11-2021.00,2.B.3.m,Quality Control Analysis,IM,1.88,Marketing Managers
11-2021.00,2.B.4.e,Judgment and Decision Making,IM,3.75,Marketing Managers
11-2021.00,2.B.4.g,Systems Analysis,IM,3.25,Marketing Managers
11-2021.00,2.B.4.h,Systems Evaluation,IM,3.50,Marketing Managers
11-2021.00,2.B.5.a,Time Management,IM,3.50,Marketing Managers
11-2021.00,2.B.5.b,Management of Financial Resources,IM,2.88,Marketing Managers
11-2021.00,2.B.5.c,Management of Material Resources,IM,2.62,Marketing Managers
11-2021.00,2.B.5.d,Management of Personnel Resources,IM,3.38,Marketing Managers
11-2022.00,2.A.1.a,Reading Comprehension,IM,3.88,Sales Managers
11-2022.00,2.A.1.b,Active Listening,IM,4.00,Sales Managers
11-2022.00,2.A.1.c,Writing,IM,3.62,Sales Managers
11-2022.00,2.A.1.d,Speaking,IM,4.00,Sales Managers
11-2022.00,2.A.1.e,Mathematics,IM,3.00,Sales Managers
11-2022.00,2.A.1.f,Science,IM,1.62,Sales Managers
11-2022.00,2.A.2.a,Critical Thinking,IM,3.88,Sales Managers
11-2022.00,2.A.2.b,Active Learning,IM,3.75,Sales Managers
11-2022.00,2.A.2.c,Learning Strategies,IM,3.12,Sales Managers
11-2022.00,2.A.2.d,Monitoring,IM,3.88,Sales Managers
11-2022.00,2.B.1.a,Social Perceptiveness,IM,3.88,Sales Managers
11-2022.00,2.B.1.b,Coordination,IM,3.75,Sales Managers
11-2022.00,2.B.1.c,Persuasion,IM,3.88,Sales Managers
11-2022.00,2.B.1.d,Negotiation,IM,4.00,Sales Managers
11-2022.00,2.B.1.e,Instructing,IM,3.75,Sales Managers
11-2022.00,2.B.1.f,Service Orientation,IM,3.62,Sales Managers
11-2022.00,2.B.2.i,Complex Problem Solving,IM,3.75,Sales Managers
11-2022.00,2.B.3.a,Operations Analysis,IM,2.62,Sales Managers
11-2022.00,2.B.3.b,Technology Design,IM,1.50,Sales Managers
11-2022.00,2.B.3.c,Equipment Selection,IM,1.00,Sales Managers
11-2022.00,2.B.3.d,Installation,IM,1.00,Sales Managers
11-2022.00,2.B.3.e,Programming,IM,1.62,Sales Managers
11-2022.00,2.B.3.g,Operations Monitoring,IM,1.75,Sales Managers
11-2022.00,2.B.3.h,Operation and Control,IM,1.75,Sales Managers
11-2022.00,2.B.3.j,Equipment Maintenance,IM,1.00,Sales Managers
11-2022.00,2.B.3.k,Troubleshooting,IM,1.00,Sales Managers
11-2022.00,2.B.3.l,Repairing,IM,1.00,Sales Managers
11-2022.00,2.B.3.m,Quality Control Analysis,IM,1.75,Sales Managers
11-2022.00,2.B.4.e,Judgment and Decision Making,IM,3.88,Sales Managers
11-2022.00,2.B.4.g,Systems Analysis,IM,3.62,Sales Managers
11-2022.00,2.B.4.h,Systems Evaluation,IM,3.62,Sales Managers
11-2022.00,2.B.5.a,Time Management,IM,3.75,Sales Managers
11-2022.00,2.B.5.b,Management of Financial Resources,IM,3.00,Sales Managers
11-2022.00,2.B.5.c,Management of Material Resources,IM,2.75,Sales Managers
11-2022.00,2.B.5.d,Management of Personnel Resources,IM,3.88,Sales Managers
11-2033.00,2.A.1.a,Reading Comprehension,IM,3.88,Fundraising Managers
11-2033.00,2.A.1.b,Active Listening,IM,4.00,Fundraising Managers
11-2033.00,2.A.1.c,Writing,IM,3.88,Fundraising Managers
11-2033.00,2.A.1.d,Speaking,IM,4.12,Fundraising Managers
11-2033.00,2.A.1.e,Mathematics,IM,3.00,Fundraising Managers
11-2033.00,2.A.1.f,Science,IM,1.25,Fundraising Managers
11-2033.00,2.A.2.a,Critical Thinking,IM,4.12,Fundraising Managers
11-2033.00,2.A.2.b,Active Learning,IM,3.38,Fundraising Managers
11-2033.00,2.A.2.c,Learning Strategies,IM,2.62,Fundraising Managers
11-2033.00,2.A.2.d,Monitoring,IM,3.12,Fundraising Managers
11-2033.00,2.B.1.a,Social Perceptiveness,IM,4.00,Fundraising Managers
11-2033.00,2.B.1.b,Coordination,IM,3.75,Fundraising Managers
11-2033.00,2.B.1.c,Persuasion,IM,4.00,Fundraising Managers
11-2033.00,2.B.1.d,Negotiation,IM,3.38,Fundraising Managers
11-2033.00,2.B.1.e,Instructing,IM,2.62,Fundraising Managers
11-2033.00,2.B.1.f,Service Orientation,IM,3.38,Fundraising Managers
11-2033.00,2.B.2.i,Complex Problem Solving,IM,3.62,Fundraising Managers
11-2033.00,2.B.3.a,Operations Analysis,IM,2.00,Fundraising Managers
11-2033.00,2.B.3.b,Technology Design,IM,1.75,Fundraising Managers
11-2033.00,2.B.3.c,Equipment Selection,IM,1.00,Fundraising Managers
11-2033.00,2.B.3.d,Installation,IM,1.00,Fundraising Managers
11-2033.00,2.B.3.e,Programming,IM,1.88,Fundraising Managers
11-2033.00,2.B.3.g,Operations Monitoring,IM,1.75,Fundraising Managers
11-2033.00,2.B.3.h,Operation and Control,IM,1.12,Fundraising Managers
11-2033.00,2.B.3.j,Equipment Maintenance,IM,1.00,Fundraising Managers
11-2033.00,2.B.3.k,Troubleshooting,IM,1.00,Fundraising Managers
11-2033.00,2.B.3.l,Repairing,IM,1.00,Fundraising Managers
11-2033.00,2.B.3.m,Quality Control Analysis,IM,1.25,Fundraising Managers
11-2033.00,2.B.4.e,Judgment and Decision Making,IM,3.75,Fundraising Managers
11-2033.00,2.B.4.g,Systems Analysis,IM,3.12,Fundraising Managers
11-2033.00,2.B.4.h,Systems Evaluation,IM,3.00,Fundraising Managers
11-2033.00,2.B.5.a,Time Management,IM,3.50,Fundraising Managers
11-2033.00,2.B.5.b,Management of Financial Resources,IM,3.25,Fundraising Managers
11-2033.00,2.B.5.c,Management of Material Resources,IM,2.62,Fundraising Managers
11-2033.00,2.B.5.d,Management of Personnel Resources,IM,3.12,Fundraising Managers
11-3012.00,2.A.1.a,Reading Comprehension,IM,4.00,Administrative Services Managers
11-3012.00,2.A.1.b,Active Listening,IM,4.00,Administrative Services Managers
11-3012.00,2.A.1.c,Writing,IM,3.75,Administrative Services Managers
11-3012.00,2.A.1.d,Speaking,IM,3.88,Administrative Services Managers
11-3012.00,2.A.1.e,Mathematics,IM,2.25,Administrative Services Managers
11-3012.00,2.A.1.f,Science,IM,1.00,Administrative Services Managers
11-3012.00,2.A.2.a,Critical Thinking,IM,3.75,Administrative Services Managers
11-3012.00,2.A.2.b,Active Learning,IM,3.12,Administrative Services Managers
11-3012.00,2.A.2.c,Learning Strategies,IM,3.00,Administrative Services Managers
11-3012.00,2.A.2.d,Monitoring,IM,3.38,Administrative Services Managers
11-3012.00,2.B.1.a,Social Perceptiveness,IM,3.25,Administrative Services Managers
11-3012.00,2.B.1.b,Coordination,IM,3.75,Administrative Services Managers
11-3012.00,2.B.1.c,Persuasion,IM,3.00,Administrative Services Managers
11-3012.00,2.B.1.d,Negotiation,IM,3.62,Administrative Services Managers
11-3012.00,2.B.1.e,Instructing,IM,3.00,Administrative Services Managers
11-3012.00,2.B.1.f,Service Orientation,IM,3.25,Administrative Services Managers
11-3012.00,2.B.2.i,Complex Problem Solving,IM,3.25,Administrative Services Managers
11-3012.00,2.B.3.a,Operations Analysis,IM,2.75,Administrative Services Managers
11-3012.00,2.B.3.b,Technology Design,IM,1.50,Administrative Services Managers
11-3012.00,2.B.3.c,Equipment Selection,IM,1.12,Administrative Services Managers
11-3012.00,2.B.3.d,Installation,IM,1.00,Administrative Services Managers
11-3012.00,2.B.3.e,Programming,IM,1.38,Administrative Services Managers
11-3012.00,2.B.3.g,Operations Monitoring,IM,2.25,Administrative Services Managers
11-3012.00,2.B.3.h,Operation and Control,IM,1.62,Administrative Services Managers
11-3012.00,2.B.3.j,Equipment Maintenance,IM,1.00,Administrative Services Managers
11-3012.00,2.B.3.k,Troubleshooting,IM,1.88,Administrative Services Managers
11-3012.00,2.B.3.l,Repairing,IM,1.00,Administrative Services Managers
11-3012.00,2.B.3.m,Quality Control Analysis,IM,2.25,Administrative Services Managers
11-3012.00,2.B.4.e,Judgment and Decision Making,IM,3.25,Administrative Services Managers
11-3012.00,2.B.4.g,Systems Analysis,IM,3.12,Administrative Services Managers
11-3012.00,2.B.4.h,Systems Evaluation,IM,2.75,Administrative Services Managers
11-3012.00,2.B.5.a,Time Management,IM,4.00,Administrative Services Managers
11-3012.00,2.B.5.b,Management of Financial Resources,IM,2.88,Administrative Services Managers
11-3012.00,2.B.5.c,Management of Material Resources,IM,2.88,Administrative Services Managers
11-3012.00,2.B.5.d,Management of Personnel Resources,IM,3.38,Administrative Services Managers
11-3013.00,2.A.1.a,Reading Comprehension,IM,3.75,Facilities Managers
11-3013.00,2.A.1.b,Active Listening,IM,3.75,Facilities Managers
11-3013.00,2.A.1.c,Writing,IM,3.25,Facilities Managers
11-3013.00,2.A.1.d,Speaking,IM,3.88,Facilities Managers
11-3013.00,2.A.1.e,Mathematics,IM,2.75,Facilities Managers
11-3013.00,2.A.1.f,Science,IM,1.50,Facilities Managers
11-3013.00,2.A.2.a,Critical Thinking,IM,3.75,Facilities Managers
11-3013.00,2.A.2.b,Active Learning,IM,3.12,Facilities Managers
11-3013.00,2.A.2.c,Learning Strategies,IM,3.00,Facilities Managers
11-3013.00,2.A.2.d,Monitoring,IM,3.75,Facilities Managers
11-3013.00,2.B.1.a,Social Perceptiveness,IM,3.62,Facilities Managers
11-3013.00,2.B.1.b,Coordination,IM,3.62,Facilities Managers
11-3013.00,2.B.1.c,Persuasion,IM,3.12,Facilities Managers
11-3013.00,2.B.1.d,Negotiation,IM,3.00,Facilities Managers
11-3013.00,2.B.1.e,Instructing,IM,3.25,Facilities Managers
11-3013.00,2.B.1.f,Service Orientation,IM,3.00,Facilities Managers
11-3013.00,2.B.2.i,Complex Problem Solving,IM,3.38,Facilities Managers
11-3013.00,2.B.3.a,Operations Analysis,IM,1.88,Facilities Managers
11-3013.00,2.B.3.b,Technology Design,IM,1.62,Facilities Managers
11-3013.00,2.B.3.c,Equipment Selection,IM,2.25,Facilities Managers
11-3013.00,2.B.3.d,Installation,IM,1.12,Facilities Managers
11-3013.00,2.B.3.e,Programming,IM,1.62,Facilities Managers
11-3013.00,2.B.3.g,Operations Monitoring,IM,2.88,Facilities Managers
11-3013.00,2.B.3.h,Operation and Control,IM,2.25,Facilities Managers
11-3013.00,2.B.3.j,Equipment Maintenance,IM,2.38,Facilities Managers
11-3013.00,2.B.3.k,Troubleshooting,IM,2.62,Facilities Managers
11-3013.00,2.B.3.l,Repairing,IM,2.25,Facilities Managers
11-3013.00,2.B.3.m,Quality Control Analysis,IM,2.88,Facilities Managers
11-3013.00,2.B.4.e,Judgment and Decision Making,IM,3.50,Facilities Managers
11-3013.00,2.B.4.g,Systems Analysis,IM,3.00,Facilities Managers
11-3013.00,2.B.4.h,Systems Evaluation,IM,3.00,Facilities Managers
11-3013.00,2.B.5.a,Time Management,IM,3.38,Facilities Managers
11-3013.00,2.B.5.b,Management of Financial Resources,IM,2.50,Facilities Managers
11-3013.00,2.B.5.c,Management of Material Resources,IM,2.75,Facilities Managers
11-3013.00,2.B.5.d,Management of Personnel Resources,IM,3.50,Facilities Managers
11-3013.01,2.A.1.a,Reading Comprehension,IM,4.12,Security Managers
11-3013.01,2.A.1.b,Active Listening,IM,4.12,Security Managers
11-3013.01,2.A.1.c,Writing,IM,3.75,Security Managers
11-3013.01,2.A.1.d,Speaking,IM,4.00,Security Managers
11-3013.01,2.A.1.e,Mathematics,IM,2.50,Security Managers
11-3013.01,2.A.1.f,Science,IM,1.38,Security Managers
11-3013.01,2.A.2.a,Critical Thinking,IM,4.25,Security Managers
11-3013.01,2.A.2.b,Active Learning,IM,3.62,Security Managers
11-3013.01,2.A.2.c,Learning Strategies,IM,3.38,Security Managers
11-3013.01,2.A.2.d,Monitoring,IM,4.00,Security Managers
11-3013.01,2.B.1.a,Social Perceptiveness,IM,4.00,Security Managers
11-3013.01,2.B.1.b,Coordination,IM,3.88,Security Managers
11-3013.01,2.B.1.c,Persuasion,IM,3.38,Security Managers
11-3013.01,2.B.1.d,Negotiation,IM,3.38,Security Managers
11-3013.01,2.B.1.e,Instructing,IM,3.38,Security Managers
11-3013.01,2.B.1.f,Service Orientation,IM,3.38,Security Managers
11-3013.01,2.B.2.i,Complex Problem Solving,IM,4.00,Security Managers
11-3013.01,2.B.3.a,Operations Analysis,IM,2.25,Security Managers
11-3013.01,2.B.3.b,Technology Design,IM,1.62,Security Managers
11-3013.01,2.B.3.c,Equipment Selection,IM,2.00,Security Managers
11-3013.01,2.B.3.d,Installation,IM,1.00,Security Managers
11-3013.01,2.B.3.e,Programming,IM,1.62,Security Managers
11-3013.01,2.B.3.g,Operations Monitoring,IM,2.25,Security Managers
11-3013.01,2.B.3.h,Operation and Control,IM,2.00,Security Managers
11-3013.01,2.B.3.j,Equipment Maintenance,IM,1.75,Security Managers
11-3013.01,2.B.3.k,Troubleshooting,IM,2.00,Security Managers
11-3013.01,2.B.3.l,Repairing,IM,1.75,Security Managers
11-3013.01,2.B.3.m,Quality Control Analysis,IM,2.50,Security Managers
11-3013.01,2.B.4.e,Judgment and Decision Making,IM,4.12,Security Managers
11-3013.01,2.B.4.g,Systems Analysis,IM,3.25,Security Managers
11-3013.01,2.B.4.h,Systems Evaluation,IM,3.38,Security Managers
11-3013.01,2.B.5.a,Time Management,IM,3.50,Security Managers
11-3013.01,2.B.5.b,Management of Financial Resources,IM,3.62,Security Managers
11-3013.01,2.B.5.c,Management of Material Resources,IM,3.25,Security Managers
11-3013.01,2.B.5.d,Management of Personnel Resources,IM,3.75,Security Managers
11-3021.00,2.A.1.a,Reading Comprehension,IM,4.00,Computer and Information Systems Managers
11-3021.00,2.A.1.b,Active Listening,IM,4.00,Computer and Information Systems Managers
11-3021.00,2.A.1.c,Writing,IM,3.75,Computer and Information Systems Managers
11-3021.00,2.A.1.d,Speaking,IM,3.88,Computer and Information Systems Managers
11-3021.00,2.A.1.e,Mathematics,IM,3.12,Computer and Information Systems Managers
11-3021.00,2.A.1.f,Science,IM,1.75,Computer and Information Systems Managers
11-3021.00,2.A.2.a,Critical Thinking,IM,4.12,Computer and Information Systems Managers
11-3021.00,2.A.2.b,Active Learning,IM,3.38,Computer and Information Systems Managers
11-3021.00,2.A.2.c,Learning Strategies,IM,3.25,Computer and Information Systems Managers
11-3021.00,2.A.2.d,Monitoring,IM,3.88,Computer and Information Systems Managers
11-3021.00,2.B.1.a,Social Perceptiveness,IM,3.62,Computer and Information Systems Managers
11-3021.00,2.B.1.b,Coordination,IM,3.75,Computer and Information Systems Managers
11-3021.00,2.B.1.c,Persuasion,IM,3.12,Computer and Information Systems Managers
11-3021.00,2.B.1.d,Negotiation,IM,3.00,Computer and Information Systems Managers
